"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"69","approximate_age_of_individual","5","approximate_number_of_days_sinc","1","coordinates","N01.107729 E37.57094","habitat_","commiphora_dominated","observers","TW2","sex_of_animal","female","species_","jackal","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","190","how_many_animals_were_observed","6","observers","TW2","coordinates","N1.37418 E37.71428","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"71","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","120","bearing_degrees","340","observers","TW2","coordinates","N1.35698 E37.71154","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","320","how_many_animals_were_observed","2","observers","TW2","coordinates","N1.35174 E37.71250","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","species_","warthog","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","140","bearing_degrees","310","how_many_animals_were_observed","null","observers","TW2","coordinates","N1.30892 E37.68551","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","bearing_degrees","280","coordinates","N1.30819 E37.68544","distance_meters","50","habitat_","commiphora_dominated","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane","generated_note_survey","null","what_species_of_bird_was_observ","null","how_many_animals_were_observed","13","approximate_number_of_days_sinc","null,
    approximate_age_of_individual"
"75","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","70","bearing_degrees","300","how_many_animals_were_observed","19","observers","TW2","coordinates","N1.30465 E37.68540","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"76","species_","bird","what_species_of_bird_was_observ","Egyptian goose","observers","TW2","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","320","how_many_animals_were_observed","2","coordinates","N1.21840 E37.65789","habitat_","seasonal_permanent_H2O_source","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"77","species_","giraffe","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","100","bearing_degrees","320","how_many_animals_were_observed","null","observers","TW2","coordinates","N1.21463 E37.64649","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","230","bearing_degrees","300","observers","TW2","coordinates","N1.21455 E37.64588","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","individual","distance_meters","80","bearing_degrees","280","how_many_animals_were_observed","null","observers","TW2","coordinates","N1.21447 E37.64535","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","species_","gerenuk","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","80","bearing_degrees","320","how_many_animals_were_observed","5","observers","TW2","coordinates","N1.18855 E37.59725","width_of_the_road","single_lane","habitat_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","20","bearing_degrees","50","how_many_animals_were_observed","34","observers","TW2","coordinates","N1.15825 E37.59240","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"82","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","10","bearing_degrees","300","how_many_animals_were_observed","100","observers","TW2","coordinates","N1.07200 E37.56651","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"83","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","40","how_many_animals_were_observed","120","observers","TW2","coordinates","N1.06209 E37.56360","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"84","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","50","bearing_degrees","50","how_many_animals_were_observed","300","observers","TW2","coordinates","N1.05890 E37.55278","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"85","species_","jackal","was_the_animal_observed_as_road","roadkill","was_a_group_of_animals_observed","null","distance_meters","null","bearing_degrees","null","approximate_number_of_days_sinc","1","approximate_age_of_individual","4","sex_of_animal","male","observers","TW2","coordinates","N1.02964 E37.56334","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA
"86","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","48","bearing_degrees","70","how_many_animals_were_observed","12","observers","TW2","coordinates","N1.05763 E37.56256","habitat_","commiphora_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"87","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","36","bearing_degrees","140","how_many_animals_were_observed","230","observers","TW2","coordinates","N0.87019 E37.56519","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"88","bearing_degrees","90","coordinates","N0.85625 E37.56821","distance_meters","40","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","400","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane","generated_note_survey","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null,
    approximate_age_of_individual"
"89","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","40","bearing_degrees","70","how_many_animals_were_observed","21","observers","TW2","habitat_","mixed_shrubs_and_trees","width_of_the_road","single_lane","coordinates",NA,NA,NA,NA,NA,NA,NA
"90","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","45","bearing_degrees","340","approximate_number_of_days_sinc","null","approximate_age_of_individual","null","sex_of_animal","null","how_many_animals_were_observed","12","observers","TW2","coordinates","N0.84923 E37.56968","habitat_","commiphora_dominated","width_of_the_road",NA
